keyword,company,vertical,priority,score,detections,action,reason,suggested_keywords
progressive cash quality insurance company and affiliates,Progressive Cash Quality Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive cash quality insurance company and affiliates; progressive cash quality insurance company and affiliates reviews; progressive cash quality insurance company and affiliates complaints; progressive cash quality insurance company and affiliates cost; progressive cash quality insurance company and affiliates price
"super shore insurance agency, llc","Super Shore Insurance Agency, LLC",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","super shore insurance agency, llc; super shore insurance agency, llc reviews; super shore insurance agency, llc complaints; super shore insurance agency, llc cost; super shore insurance agency, llc price"
progressive cashly insurance company and affiliates,Progressive Cashly Insurance Company and Affiliates,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive cashly insurance company and affiliates; progressive cashly insurance company and affiliates reviews; progressive cashly insurance company and affiliates complaints; progressive cashly insurance company and affiliates cost; progressive cashly insurance company and affiliates price
"cat scale, progressive insurance, the st. christopher truckers fund","CAT scale, Progressive Insurance, The St. Christopher Truckers Fund",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","cat scale, progressive insurance, the st. christopher truckers fund; cat scale, progressive insurance, the st. christopher truckers fund reviews; cat scale, progressive insurance, the st. christopher truckers fund complaints; cat scale, progressive insurance, the st. christopher truckers fund cost; cat scale, progressive insurance, the st. christopher truckers fund price"
low-t center,Low-T Center,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",low-t center; low-t center reviews; low-t center complaints; low-t center cost; low-t center price
big look,Big Look,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",big look; big look reviews; big look complaints; big look cost; big look price
super sure insurance agency llc,super sure insurance agency LLC,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",super sure insurance agency llc; super sure insurance agency llc reviews; super sure insurance agency llc complaints; super sure insurance agency llc cost; super sure insurance agency llc price
progressive commercial,Progressive Commercial,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive commercial; progressive commercial reviews; progressive commercial complaints; progressive commercial cost; progressive commercial price
progressive catholic insurance company and affiliks,Progressive Catholic Insurance Company and Affiliks,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",progressive catholic insurance company and affiliks; progressive catholic insurance company and affiliks reviews; progressive catholic insurance company and affiliks complaints; progressive catholic insurance company and affiliks cost; progressive catholic insurance company and affiliks price
super shore,Super Shore,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",super shore; super shore reviews; super shore complaints; super shore cost; super shore price
robert livenger insurance agent,Robert Livenger insurance agent,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",robert livenger insurance agent; robert livenger insurance agent reviews; robert livenger insurance agent complaints; robert livenger insurance agent cost; robert livenger insurance agent price
"zip recruiter, ethos","Zip Recruiter, Ethos",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","zip recruiter, ethos; zip recruiter, ethos reviews; zip recruiter, ethos complaints; zip recruiter, ethos cost; zip recruiter, ethos price"
askchapter,AskChapter,insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio",askchapter; askchapter reviews; askchapter complaints; askchapter cost; askchapter price
"super sure insurance agency, llc","Super Sure Insurance Agency, LLC",insurance,P1_research_next,10.0,1,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 1 detections on radio","super sure insurance agency, llc; super sure insurance agency, llc reviews; super sure insurance agency, llc complaints; super sure insurance agency, llc cost; super sure insurance agency, llc price"
