keyword,company_name,vertical,priority,opportunity_score,radio_evidence,commercial_intent,offer_fit,search_ads_test,risk_score,detections,n_stations,website,phone,next_step
higginbotham insurance and financial services,Higginbotham insurance and financial services,unknown_financial_review,P2_watchlist,8.5,1,3.0,3.5,3.0,2.0,1,1,citycurrent.com,9013211020,Monitor for increased radio activity → re-score in 2 weeks
new capital insurance,New Capital Insurance,unknown_financial_review,P2_watchlist,8.5,1,3.0,3.5,3.0,2.0,1,1,newcapitalinsurance.com,4244659001,Monitor for increased radio activity → re-score in 2 weeks
"coast one tax group, coast one financial group","Coast One Tax Group, Coast One Financial Group",unknown_financial_review,P2_watchlist,8.5,1,3.5,4.0,2.0,2.0,1,1,,8002423186,Monitor for increased radio activity → re-score in 2 weeks
"dean and draper insurance, oak harvest financial group","Dean and Draper Insurance, Oak Harvest Financial Group",unknown_financial_review,P2_watchlist,8.5,1,3.0,3.5,3.0,2.0,1,1,deandraper.com,,Monitor for increased radio activity → re-score in 2 weeks
vincent financial group,Vincent Financial Group,unknown_financial_review,P2_watchlist,8.0,2,3.0,3.0,2.0,2.0,4,1,,7707410120,Monitor for increased radio activity → re-score in 2 weeks
dtn wealth planning,DTN Wealth Planning,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,3,1,dtnwealthplanning.com,8174004200; 8174386752,Monitor for increased radio activity → re-score in 2 weeks
nicklaus wealth management,Nicklaus Wealth Management,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,2,1,nicklauswealth.com,6789908500,Monitor for increased radio activity → re-score in 2 weeks
oak harvest financial group,Oak Harvest Financial Group,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,2,1,southernfront.com,,Monitor for increased radio activity → re-score in 2 weeks
boer capital management,Boer Capital Management,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,2,1,"knowyourriskpodcast.com; knowyourriskpodcast.com, boercapitalmanagement.com",,Monitor for increased radio activity → re-score in 2 weeks
leer capital,Leer Capital,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,leercapital.com,,Monitor for increased radio activity → re-score in 2 weeks
mcgowan group wealth management,McGowan Group Wealth Management,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,networthradio.com,,Monitor for increased radio activity → re-score in 2 weeks
lear capital,Lear Capital,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,learcapital.com,,Monitor for increased radio activity → re-score in 2 weeks
"ledger, ethos, wesley financial group","Ledger, Ethos, Wesley Financial Group",unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,"ledger.com/slash-spurs, ethos.com/slash-save, wesleyfinancialgroup.com",,Monitor for increased radio activity → re-score in 2 weeks
bullwerk capital,Bullwerk Capital,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,knowyourriskpodcast.com,,Monitor for increased radio activity → re-score in 2 weeks
scott mann financial services,Scott Mann Financial Services,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,safemoneywithscottman.com,8006360332,Monitor for increased radio activity → re-score in 2 weeks
"trajan wealth llc, ae wealth management llc","Trajan Wealth LLC, AE Wealth Management LLC",unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,trajанwealth.com,8558724361,Monitor for increased radio activity → re-score in 2 weeks
board capital management,Board Capital Management,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,"knowyourriskpodcast.com, boardcapitalmanagement.com",,Monitor for increased radio activity → re-score in 2 weeks
tragen wealth,Tragen Wealth,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,trajanwealth.com,8558724361,Monitor for increased radio activity → re-score in 2 weeks
traján wealth,Traján Wealth,unknown_financial_review,P2_watchlist,8.0,1,3.0,3.0,3.0,2.0,1,1,trajanwealth.com,8558725261,Monitor for increased radio activity → re-score in 2 weeks
oak harvest financial group,Oak Harvest financial group,unknown_financial_review,Hold,7.5,1,3.5,3.0,2.0,2.0,1,1,,7132125874,Insufficient evidence. Re-check after next keyword extraction cycle.
american financing,American financing,unknown_financial_review,Hold,7.5,1,3.0,2.5,3.0,2.0,1,1,americanfinancing.net,,Insufficient evidence. Re-check after next keyword extraction cycle.
cali financial group,Cali Financial Group,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,2,1,,8885425211,Insufficient evidence. Re-check after next keyword extraction cycle.
pivotal financial,Pivotal Financial,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,2,1,,6156148460,Insufficient evidence. Re-check after next keyword extraction cycle.
main street wealth management group,Main Street Wealth Management Group,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,2,1,,7134932200,Insufficient evidence. Re-check after next keyword extraction cycle.
howard bailey financial,Howard Bailey Financial,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,2,1,,8884945004,Insufficient evidence. Re-check after next keyword extraction cycle.
nicholas wealth management,Nicholas wealth management,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,1,1,,6789908500,Insufficient evidence. Re-check after next keyword extraction cycle.
mcgowan group asset management inc,McGowan Group Asset Management Inc,unknown_financial_review,Hold,7.0,1,2.5,2.5,3.0,2.0,1,1,networthradio.com,,Insufficient evidence. Re-check after next keyword extraction cycle.
dewitt and dunn financial services,DeWitt and Dunn financial services,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,1,1,,,Insufficient evidence. Re-check after next keyword extraction cycle.
"big wireless, puretalk, wesley financial group","Big Wireless, PureTalk, Wesley Financial Group",unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,1,1,,,Insufficient evidence. Re-check after next keyword extraction cycle.
wesley financial group,Wesley financial group,unknown_financial_review,Hold,7.0,1,3.0,3.0,2.0,2.0,1,1,,802522929,Insufficient evidence. Re-check after next keyword extraction cycle.
