keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
liberty mutual,Liberty Mutual,insurance,report_now,keep_active,medium,3,whbo-1040; wsb-am-750,libertymutual.com,,1781557467.2674043,1781726655.4138453,customize and save on car insurance,company_name + websites + offers,Financial vertical: insurance. 3 detections across radio.
sig sauer,Sig Sauer,unknown_general_review,store_only,keep_active,low,3,klif-am-570; woai-am-1200,sigsauer.com,,1781555818.3734055,1781724964.7254772,free flashlight with pistol purchase,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
franklin pest solutions,Franklin Pest Solutions,unknown_general_review,store_only,keep_active,low,3,wibc-fm-931,franklinpestsolutions.com,180046873787,1781629465.1523032,1781720584.1242535,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
super sure,Super Sure,insurance,report_now,keep_active,medium,3,woai-am-1200,super sure.com; supershort.com; supershort.com/slash-buck,,1781563450.764394,1781713159.2580254,year-round business insurance support,company_name + websites + offers,Financial vertical: insurance. 3 detections across radio.
allied siding and windows,Allied Siding and Windows,home_service,store_only,keep_active,low,3,ktrh-am-740,alliedsidingandwindows.com; alliedsidingwindows.com,2814743464; 7139463697,1781621292.0871196,1781698835.781025,"up to 12 months, no interest, no payment financing",company_name + websites + offers,Non-financial (home_service). 3 detections. Archived for future offers.
george's,George's,unknown_general_review,store_only,keep_active,low,3,klif-am-570; woai-am-1200,healthylooking.com,8004786465,1781588199.5405228,1781689068.4505138,lose weight and keep muscle with tri-GLP drops,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
george's triglp,George's TriGLP,unknown_general_review,store_only,keep_active,low,3,klif-am-570; ktrh-am-740,healthylooking.com,8004786465,1781156243.988121,1781674664.5877,lose weight and keep muscle,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
cars for kids,Cars for Kids,unknown_general_review,store_only,keep_active,low,3,ktrh-am-740; wsb-am-750,carsforkids.org,187722773675437,1781571436.187666,1781644947.7899423,free and stress-free vehicle removal,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
chapter,Chapter,insurance,report_now,keep_active,medium,3,wbap-am-820; wsb-am-750,askchapter.org; askchapter.org/pags; askchapter.org/slash pags,8335637247,1781234494.3408403,1781627335.4928858,free Medicare plan comparison,company_name + websites + offers,Financial vertical: insurance. 3 detections across radio.
southern exteriors,Southern Exteriors,unknown_general_review,store_only,keep_active,low,3,wsb-am-750,southernexteriors.co,877976884376,1781616187.9132473,1781616362.0762897,"10% off on siding, roofing, or window projects",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 3 detections. Archived for future offers."
cb windows,CB Windows,home_service,store_only,keep_active,low,3,wibc-fm-931,,,1781560098.1664195,1781610931.087945,limited-time 50% off all products with no interest for 12 months,company_name + offers,Non-financial (home_service). 3 detections. Archived for future offers.
fox news wine shop,Fox News Wine Shop,tax_relief,report_now,keep_active,medium,3,klif-am-570; wibc-fm-931,foxnewswineshop.com,,1781139858.3504262,1781593334.74535,20% discount on wine orders,company_name + websites + offers,Financial vertical: tax_relief. 3 detections across radio.
trashy,Trashy,retail,store_only,keep_active,low,2,ktrh-am-740; woai-am-1200,trashy.io,,1781890444.7944524,1781990107.845344,clothing recycling with rewards,company_name + websites + offers,Non-financial (retail). 2 detections. Archived for future offers.
markspane,Markspane,unknown_general_review,store_only,keep_active,low,2,wsb-am-750; wwtn-fm-997,markspane.com,8552997653,1781924674.4679527,1781987182.8961923,"guaranteed home offer, fast closing",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
dtnwealthplanning.com,dtnwealthplanning.com,unknown_general_review,store_only,keep_active,low,2,klif-am-570,dtnwealthplanning.com,8174386752,1781986465.485621,1781987129.4890077,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
cambridge auto center,Cambridge Auto Center,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,cambridgeauto.com,2106554670,1781985978.3216822,1781986584.2353272,three-year or thirty-six thousand mile nationwide warranties,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
nicklaus wealth management,Nicklaus Wealth Management,unknown_financial_review,manual_review,keep_active,low,2,wsb-am-750,nicklauswealth.com,6789908500,1781719406.1436732,1781985364.5420609,complimentary consultation for retirement planning,company_name + websites + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
veteran card donation program,Veteran Card Donation Program,nonprofit,store_only,keep_active,low,2,whbo-1040,,8007621537,1781879116.2995405,1781983955.7692356,"free car pickup for veterans, tax deduction",company_name + offers,Non-financial (nonprofit). 2 detections. Archived for future offers.
meta share,Meta Share,insurance,report_now,keep_active,medium,2,whbo-1040,,8008113471,1781583263.8914204,1781981637.2107487,save up to 500 bucks a month on health care,company_name + offers,Financial vertical: insurance. 2 detections across radio.
shelton construction,Shelton Construction,home_service,store_only,keep_active,low,2,wbap-am-820,,18174237302; 8174237302,1781977626.9523697,1781981195.9735963,,company_name,Non-financial (home_service). 2 detections. Archived for future offers.
the glock store,The Glock Store,retail,store_only,keep_active,low,2,wwtn-fm-997,glockstore.com,,1781568304.0928311,1781979318.7292943,,company_name + websites,Non-financial (retail). 2 detections. Archived for future offers.
the good contractors list,The Good Contractors List,unknown_general_review,store_only,keep_active,low,2,klif-am-570,goodcontractorslist.com; thegoodcontractorslist.com,,1781834006.2519395,1781976587.9135787,contractor guarantee and accountability,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
brada pest management,Brada Pest Management,home_service,store_only,keep_active,low,2,wsb-am-750,bredapest.com,,1781788888.3691125,1781976035.0081491,protect home and family from roaches,company_name + websites + offers,Non-financial (home_service). 2 detections. Archived for future offers.
retire simply,Retire Simply,unknown_general_review,store_only,keep_active,low,2,wbap-am-820,retiresimplythrive.com,8333631947,1781972231.9203115,1781974721.9342089,schedule a 15-minute phone call with retirement planners,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
retire simply team,Retire Simply Team,unknown_general_review,store_only,keep_active,low,2,wbap-am-820,retiresimplythrive.com,8333631947,1781972978.9241176,1781974638.933703,complimentary retirement plan and fee finder report,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
the term life line,The Term Life Line,insurance,report_now,keep_active,medium,2,whbo-1040; wibc-fm-931,,8003401834; 8008031961,1781844528.148348,1781970057.8893423,free quote for term life insurance,company_name + offers,Financial vertical: insurance. 2 detections across radio.
sleep number,Sleep Number,unknown_general_review,store_only,keep_active,low,2,klif-am-570; whbo-1040,sleepnumber.com,,1781923876.0777986,1781968880.0001454,"new mattresses start at $1,500 during Fourth of July sale",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
wendy's,Wendy's,other,store_only,keep_active,low,2,ktrh-am-740; wsb-am-750,,,1781737471.176289,1781967858.9867203,biggie deals,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
ecp ventures,ECP Ventures,unknown_general_review,store_only,keep_active,low,2,klif-am-570,ecpventures.com,7605183447,1781962002.9487813,1781967738.789713,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
oak harvest financial group,Oak Harvest Financial Group,unknown_financial_review,manual_review,keep_active,low,2,ktrh-am-740,southernfront.com,,1781963091.8616102,1781966735.2554145,build retirement income,company_name + websites + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
atlanta ram jack,Atlanta Ram Jack,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,liveunited.org,,1781836117.1090233,1781963487.557462,"free estimate, fully transferable warranty",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
cali financial group,Cali Financial Group,unknown_financial_review,manual_review,keep_active,low,2,wbap-am-820,,8885425211,1781960631.6964183,1781960714.6968193,free no obligation appointment for retirement planning,company_name + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
tommy nova center,Tommy Nova Center,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,tommynovacenter.org,,1781829292.223767,1781960374.0441432,vehicle donation,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
fortify nutrition center,Fortify Nutrition Center,health_supplement,store_only,keep_active,low,2,whbo-1040,fortify.com,,1781646654.8273249,1781958778.330193,fitness nutrition product,company_name + websites + offers,Non-financial (health_supplement). 2 detections. Archived for future offers.
lauren michael's real estate partners,Lauren Michael's Real Estate Partners,unknown_general_review,store_only,keep_active,low,2,whbo-1040,lauren michael's real estate.com; laurenmichael'srealestate.com,7272988888,1781787113.7047865,1781958525.4343002,best deal possible in town,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
zelman's minty mouth,Zelman's Minty Mouth,tax_relief,report_now,keep_active,medium,2,woai-am-1200,zelman's.com; zelmans.com,,1781659014.3485413,1781956682.7371624,15% off first order with code radio,company_name + websites + offers,Financial vertical: tax_relief. 2 detections across radio.
bass pro shops,Bass Pro Shops,other,store_only,keep_active,low,2,wtam-am-1100,,,1781901309.236368,1781956139.0258489,Father's Day gifts from Bass Pro Shops,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
saint christopher truckers relief fund,Saint Christopher Truckers Relief Fund,unknown_general_review,store_only,keep_active,low,2,kabc-am-790; whbo-1040,truckersfund.org,,1781592696.219229,1781953138.4188628,free at-home cancer screening kits for truckers,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
kineticosa,KineticoSA,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,kineticosa.com,2106567873,1781627089.089767,1781953127.802824,free consultation and financing,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
pivotal financial,Pivotal Financial,unknown_financial_review,manual_review,keep_active,low,2,wwtn-fm-997,,6156148460,1781951864.2485526,1781952220.1094415,risk analysis for retirement portfolio,company_name + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
audion hearing,Audion Hearing,unknown_general_review,store_only,keep_active,low,2,wbap-am-820; woai-am-1200,audionhearing.com; creoninfo.com,,1781845011.399367,1781943323.5681317,affordable hearing aids,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
st. christopher truckers relief fund,St. Christopher truckers relief fund,unknown_general_review,store_only,keep_active,low,2,whbo-1040; wwtn-fm-997,truckersfund.org,,1781762288.8855627,1781940289.832734,"free tobacco and nicotine cessation program, financial support for truck drivers",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
fair co-op,FAIR Co-op,media_internal,store_only,keep_archive,low,2,ktrh-am-740,fair.coop slash iheart; fair.coop/slash/iheart,81850141098185014721800825503380061882558008255,1781679965.1296697,1781939203.959907,earn up to 90% and give out 25% of net profits from each ride for referrals,company_name + websites + offers,Non-financial (other). 2 detections. Archived for future offers.
mark dito realty,Mark Dito Realty,unknown_general_review,store_only,keep_active,low,2,wibc-fm-931,markdito.com,3177554232,1781747574.5240555,1781922616.142337,guaranteed home sale or buyout,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
the national foundation for credit counseling,The National Foundation for Credit Counseling,nonprofit,store_only,keep_active,low,2,wsb-am-750,mortgagehelpnow.org,8666876322,1781593457.0341663,1781922349.9638317,,company_name + websites,Non-financial (nonprofit). 2 detections. Archived for future offers.
michalis,Michalis,legal_financial,report_now,keep_active,low,2,wibc-fm-931,,,1781551981.5894566,1781921020.5155032,free inspection for home issues,company_name + offers,Financial vertical: legal_financial. 2 detections across radio.
the international fellowship of christians and jews,The International Fellowship of Christians and Jews,unknown_general_review,store_only,keep_active,low,2,wwtn-fm-997,levinforthefellowship.org; levintforthefellowship.org,,1781828547.7562015,1781918338.6929603,free U.S.-Israel flag pin,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
american crawl space solutions,American Crawl Space Solutions,other,store_only,keep_active,low,2,wsb-am-750,,,1781830667.8465931,1781917163.2720866,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
get a box,Get A Box,unknown_general_review,store_only,keep_active,low,2,whbo-1040,getabox.com,,1781783876.644375,1781915595.4952142,one-time purchase of TV and movie channels,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
main street wealth management group,Main Street Wealth Management Group,unknown_financial_review,manual_review,keep_active,low,2,ktrh-am-740,,7134932200,1781561868.8279183,1781912740.6504176,trust and investment management services,company_name + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
end family fire,End Family Fire,other,store_only,keep_active,low,2,kabc-am-790,,,1781629092.623398,1781912189.6695166,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
i heart radio,I Heart Radio,other,store_only,keep_active,low,2,woai-am-1200; wtam-am-1100,,,1781639655.0674658,1781911962.6575263,"$250,000 cash giveaway",company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
cumulus digital,cumulus digital,media_internal,store_only,keep_archive,low,2,kabc-am-790; wbap-am-820,,,1781214202.5582733,1781911940.667969,precise marketing with proof of ad visibility,company_name + offers,Non-financial (media_internal). 2 detections. Archived for future offers.
indie decorative concrete,Indie Decorative Concrete,unknown_general_review,store_only,keep_active,low,2,wibc-fm-931,indiedecorativeconcrete.com,,1781735752.7118204,1781910033.9760153,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
top dog law,Top Dog Law,unknown_general_review,store_only,keep_active,low,2,wtam-am-1100,topdoglaw.com,,1781601442.654111,1781908573.7544882,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
supersure insurance agency llc,SuperSure insurance agency LLC,insurance,report_now,keep_active,medium,2,klif-am-570; woai-am-1200,supersure.com; supersure.com/slash-hanity,,1781563537.1835246,1781908212.8836217,"free consultation, business insurance evaluation",company_name + websites + offers,Financial vertical: insurance. 2 detections across radio.
ziprecruit,ZipRecruit,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,ziprecruiter.com,,1781657104.215359,1781907458.834757,free trial for job posting,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
red pilled america,Red Pilled America,other,store_only,keep_active,low,2,ktrh-am-740; woai-am-1200,,,1781881279.3848598,1781907285.2789447,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
george stein,George Stein,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,georgestein.com,185539372738439,1781902284.256355,1781902455.8883965,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
mr. plumber,Mr. Plumber,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,mrplumberatlanta.com,,1781709913.3140252,1781902026.379336,save $250 on a new tank type water heater and $50 off any weekend appointments,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
davis law firm,Davis Law Firm,legal_financial,report_now,keep_active,low,2,woai-am-1200,,4444444,1781735567.6731877,1781899464.925565,,company_name,Financial vertical: legal_financial. 2 detections across radio.
pierce jewelers,Pierce Jewelers,other,store_only,keep_active,low,2,wibc-fm-931,,,1781683548.294882,1781896777.5134034,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
bone charge,Bone Charge,unknown_general_review,store_only,keep_active,low,2,kabc-am-790; klif-am-570,bonecharge.com,,1781202225.3501477,1781895214.8598428,15% off with code Vince,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
cars4kids,Cars4Kids,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740; wsb-am-750,cars4kids.com; cars4kids.org,1877227745437; 877227745437,1781598856.4599035,1781893391.2447186,donate your car or real estate,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
orderlymeds,OrderlyMeds,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,orderlymeds.com/slash-radio,,1781889823.76287,1781893218.047542,access to GLP-1 medications online,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
aquablation atlanta,Aquablation Atlanta,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,aquablationatlantic.com,4044809606,1781717065.172455,1781891837.4273255,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
coosa valley credit union,Coosa Valley Credit Union,home_auto_financing,report_now,keep_active,medium,2,wsb-am-750,,7062358551,1781636283.9280827,1781890376.5171106,auto loan with low APR,company_name + offers,Financial vertical: home_auto_financing. 2 detections across radio.
"big wireless, puretalk","Big Wireless, PureTalk",unknown_general_review,store_only,keep_active,low,2,ktrh-am-740; woai-am-1200,,25064276,1781583338.9173322,1781880758.8894026,"unlimited talk, text and data for $34.99 a month or less",company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
travel hotline,Travel Hotline,travel,store_only,keep_active,low,2,whbo-1040,,8008113471,1781657757.1897025,1781877293.914124,"cheap airline tickets, hotels, and travel packages",company_name + offers,Non-financial (travel). 2 detections. Archived for future offers.
progressive insurance,Progressive Insurance,insurance,report_now,keep_active,medium,2,wibc-fm-931; wwtn-fm-997,progressive.com; progressivecommercial.com,18007764377483,1781615055.6238377,1781847168.4034698,,company_name + websites,Financial vertical: insurance. 2 detections across radio.
r&r agency,R&R agency,unknown_general_review,store_only,keep_active,low,2,wibc-fm-931,rragency.org,3175630868,1781732721.1336439,1781841206.716435,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
my eye doctor,My Eye Doctor,medical_non_financing,store_only,keep_active,low,2,wibc-fm-931,myeyedr.com,,1781738379.6511068,1781834050.1805816,complete pair of glasses starting at $95,company_name + websites + offers,Non-financial (medical_non_financing). 2 detections. Archived for future offers.
tara fine jewelry company,Tara Fine Jewelry Company,other,store_only,keep_active,low,2,wsb-am-750,,,1781833945.3055875,1781834028.8137128,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
exogen,Exogen,unknown_general_review,store_only,keep_active,low,2,whbo-1040,exogen.com,,1781657924.7494156,1781832806.8016417,accurate thermometer for fever detection,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
audian hearing,Audian Hearing,unknown_general_review,store_only,keep_active,low,2,klif-am-570,audianhearing.com,,1781225228.6076076,1781831848.2354686,affordable hearing aids starting at $98 a pair,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
boer capital management,Boer Capital Management,unknown_financial_review,manual_review,keep_active,low,2,wibc-fm-931,"knowyourriskpodcast.com; knowyourriskpodcast.com, boercapitalmanagement.com",,1781570781.570398,1781830090.3310282,free portfolio review,company_name + websites + offers,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.
chalk.com,Chalk.com,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,chalk.com/slash/jesse,,1781734673.5208385,1781829996.1017046,testosterone boost and mental sharpness,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
georgia power,Georgia Power,other,store_only,keep_active,low,2,wsb-am-750,,,1781674143.6433868,1781826702.4754965,rebates on high-efficiency equipment upgrades,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
beams,Beams,unknown_general_review,store_only,keep_active,low,2,klif-am-570,shopbeam.com,,1781198582.592659,1781805188.024361,40% off Beams Dream Powder,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
thunderbolt transmissions,Thunderbolt Transmissions,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,,71392388; 7139238888,1781698406.5337424,1781803962.5829504,"free check for check engine light, free towing, 0% financing available",company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
one medical seniors,One Medical Seniors,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,supercenter.com,8333123204,1781699363.5818377,1781803442.577826,,company_name + websites,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
lone star chevy 290,Lone Star Chevy 290,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,,2818275200,1781561696.3315969,1781797513.5050786,,company_name,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
aquaguard,AquaGuard,other,store_only,keep_active,low,2,wsb-am-750,,,1781674227.3798366,1781787388.4718862,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
red mountain weight loss,Red Mountain Weight Loss,health_supplement,store_only,keep_active,low,2,wbap-am-820,redmountainweightloss.com,,1781608500.0737925,1781785714.794324,weight loss services and plans,company_name + websites + offers,Non-financial (health_supplement). 2 detections. Archived for future offers.
rocco's european garage,Rocco's European Garage,other,store_only,keep_active,low,2,wsb-am-750,,,1781623801.6748872,1781783960.7123528,expert car care at better value,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
applied innovation,Applied Innovation,saas_b2b,store_only,keep_active,low,2,wibc-fm-931,appliedinnovation.com,8005210983,1781695706.919714,1781781164.4024267,,company_name + websites,Non-financial (saas_b2b). 2 detections. Archived for future offers.
progressive casualty insurance company affiliates,Progressive Casualty Insurance Company Affiliates,insurance,report_now,keep_active,medium,2,wbap-am-820; whbo-1040,progressivecommercial.com,,1781203881.8375778,1781781039.399695,personalized discounts on commercial auto quotes,company_name + websites + offers,Financial vertical: insurance. 2 detections across radio.
kinetico san antonio,Kinetico San Antonio,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,kineticosa.com; kineticousa.com,2106567873,1781715509.3495836,1781779224.7775934,"free consultation, free water analysis, interest-free financing",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
lang eye institute,Lang Eye Institute,unknown_general_review,store_only,keep_active,low,2,whbo-1040,,8779698600,1781561210.371336,1781777549.8428085,muscle and energy supplement,company_name + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
progressive commercial insurance,Progressive Commercial Insurance,insurance,report_now,keep_active,medium,2,wbap-am-820; wwtn-fm-997,progressivecommercial.com,,1781681115.30936,1781776173.036364,"specialized coverages for heavy trucks, quote in as little as eight minutes",company_name + websites + offers,Financial vertical: insurance. 2 detections across radio.
amazing moros,Amazing Moros,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,amazingmoro.com,,1781593128.424007,1781774891.42114,heating and air services,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
george's tri-glp drops,George's Tri-GLP Drops,unknown_general_review,store_only,keep_active,low,2,klif-am-570; wibc-fm-931,healthylooking.com,8004786465,1781602675.2092996,1781771871.9741147,lose weight and keep muscle,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
george's tri-glp,George's Tri-GLP,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740; wsb-am-750,healthylooking.com,8004786465,1781599114.547308,1781771862.4155145,lose weight and keep muscle with drops,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
the tax relief center,The Tax Relief Center,tax_relief,report_now,keep_active,medium,2,whbo-1040,tra.com,8002816030; 8005759379,1781630565.5950937,1781767547.6770682,"free tax consultation for IRS debt over $10,000",company_name + websites + offers,Financial vertical: tax_relief. 2 detections across radio.
incognito,Incognito,identity_protection,report_now,keep_active,low,2,whbo-1040; wsb-am-750,incognito.com; incognito.com/eric,,1781632165.0988326,1781743788.7993612,legal removal of personal data from data brokers,company_name + websites + offers,Financial vertical: identity_protection. 2 detections across radio.
hillsdale college,Hillsdale College,education,store_only,keep_active,low,2,wbap-am-820; wwtn-fm-997,11forhillsdale.com; leaven4hillsdale.com,,1781652573.3897095,1781742228.2088864,free online courses,company_name + websites + offers,Non-financial (education). 2 detections. Archived for future offers.
america 250,America 250,other,store_only,keep_active,low,2,kabc-am-790; wsb-am-750,,,1781625685.7673812,1781739192.619183,concert at the Los Angeles Memorial Coliseum,company_name + offers,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
generator supercenter,Generator Supercenter,unknown_general_review,store_only,keep_active,low,2,ktrh-am-740,"dth.com, generatorsupercenter.com",2812516100,1781651643.490196,1781738939.4039338,annual maintenance inspection for generators,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
b-window,B-Window,home_service,store_only,keep_active,low,2,wibc-fm-931,,,1781696136.6613984,1781732979.3541608,"50% off all products with 12 months, no interest and no payments",company_name + offers,Non-financial (home_service). 2 detections. Archived for future offers.
blue ribbon roofing,Blue Ribbon Roofing,home_service,store_only,keep_active,low,2,wbap-am-820,blueribbondfw.com,,1781608583.0744762,1781731647.2703533,free roof inspection,company_name + websites + offers,Non-financial (home_service). 2 detections. Archived for future offers.
cool ray,Cool Ray,unknown_general_review,store_only,keep_active,low,2,wsb-am-750,coolray.com,,1781631134.65642,1781731189.3867843,new carrier cooling system starting at $60 a month,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
givemethevin.com,GiveMeTheVin.com,unknown_general_review,store_only,keep_active,low,2,wbap-am-820,givemethevin.com,,1781212905.8457012,1781729237.415565,"top price, trust, and ease of transaction for car buying",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
thomas j. henry,Thomas J. Henry,other,store_only,keep_active,low,2,woai-am-1200,,,1781604723.9318767,1781726698.6725314,,company_name,Low-confidence detection. May be parsing noise. Non-financial (other). 2 detections. Archived for future offers.
audien hearing,Audien Hearing,unknown_general_review,store_only,keep_active,low,2,klif-am-570,audienhearing.com,57196336432,1781555198.7159894,1781725905.4143028,free quote for hearing aids,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
connecticut san antonio,Connecticut San Antonio,unknown_general_review,store_only,keep_active,low,2,woai-am-1200,connecticutsa.com,2106567873,1781622244.1831,1781717085.8491058,"free consultation, free water analysis, 12 months interest-free financing",company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
iowanaiken,Iowanaiken,unknown_general_review,store_only,keep_active,low,2,whbo-1040,myfloridalaw.com,,1781603284.4741516,1781715043.3831098,free consultation for family law matters,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 2 detections. Archived for future offers."
debt.com,debt.com,debt_relief,report_now,keep_active,medium,2,wibc-fm-931,,8008101820,1781620147.5194318,1781713344.9507003,reduce credit card bills and monthly payments,company_name + offers,Financial vertical: debt_relief. 2 detections across radio.
